"country_code","country_name","year","quarter","network_type","date","download_mbps_weighted_mean","upload_mbps_weighted_mean","latency_ms_weighted_mean","download_mbps_weighted_median","upload_mbps_weighted_median","latency_ms_weighted_median","download_mbps_mean","upload_mbps_mean","latency_ms_mean","download_mbps_median","upload_mbps_median","latency_ms_median","tile_count","total_tests","total_devices"
"RU","Russia",2021,2,"fixed",2021-04-01,85.6793645517498,83.0363431186632,7.888965076372,74.079,74.911,5,66.9243610929917,65.620798707144,12.2693863173825,50.2865,52.1045,5,153304,1579104,560022
"RU","Russia",2021,4,"mobile",2021-10-01,28.4984540172333,11.4777607102678,39.4436500169003,23.754,10.504,34,26.6295880745217,9.96135606644052,43.2472892569681,19.487,7.594,36,279167,1666297,792884
"RU","Russia",2021,4,"fixed",2021-10-01,94.2159461276172,92.2047623088687,7.30280931288902,85.846,85.98,5,73.9436963432318,73.1733602736271,11.0737658407414,56.152,57.484,5,158610,2020498,655178
"RU","Russia",2021,3,"mobile",2021-07-01,27.3636325213982,10.6353936370455,38.6399508186604,23.01,9.703,34,23.9488257723775,8.90417529364115,42.6418404212232,17.03,6.376,36,308625,1669598,842596
"RU","Russia",2021,3,"fixed",2021-07-01,80.0478481794967,80.0428014308303,7.7290649056448,72.248,74.589,4,57.5224431196818,57.7857781848063,14.9767148957085,44.055,46.711,5,260424,3956844,1404639
"RU","Russia",2022,1,"mobile",2022-01-01,29.4956260908386,11.9783849829639,38.7854256252009,24.7,10.912,34,27.2537924984395,10.4904923048175,42.3787476989993,20.139,8.064,36,251521,1430821,687659
"RU","Russia",2022,2,"mobile",2022-04-01,31.9660097067087,12.1677801278484,39.8940758133033,27.172,11.072,34,28.5145451872979,10.3847411992249,43.2812674097148,20.988,7.698,35,285401,1484354,736810
"RU","Russia",2022,2,"fixed",2022-04-01,89.9204653220005,91.7961359239021,8.39576138539605,83.057,86.653,4,65.0692419688712,67.0905757993943,15.9350320418796,49.072,52.752,6,242027,3627069,1241349
"RU","Russia",2022,1,"fixed",2022-01-01,89.674267073432,90.1062045551296,7.27857818787215,83.681,85.441,4,65.6657221936698,66.3352875870739,13.2916314154009,50.174,52.758,6,252946,4620385,1475216
"RU","Russia",2022,4,"mobile",2022-10-01,32.7806003909756,12.6716764637091,40.5530930376626,27.17,11.47,34,30.3262615772955,11.1542051253119,43.6364513985532,22.222,8.571,36,239283,1286512,632776
"RU","Russia",2022,3,"mobile",2022-07-01,32.7405567747206,12.16342516488,39.8592642736566,27.547,10.922,34,28.36820158392,10.3091843532927,43.2274298608933,20.308,7.507,36,277413,1376055,700206
"RU","Russia",2022,3,"fixed",2022-07-01,91.1614373647422,93.3497734250873,8.56920715870193,84.338,87.962,5,65.6895344199376,67.9912652402168,16.0151916069964,49.3605,53.06,6,236578,3396758,1182002
"RU","Russia",2022,4,"fixed",2022-10-01,98.8966391753711,101.830463066179,8.13270419805668,93.46,97.304,5,72.5902582072364,75.8729352312082,14.6005105972209,55.0395,59.7575,6,236194,3964321,1273494
"RU","Russia",2023,1,"mobile",2023-01-01,33.9010218380934,13.0020270667692,41.0085442597296,28.246,11.849,34,31.4686127007061,11.6040241879305,44.3547563146624,23.3305,9.058,35,232554,1230276,603212
"RU","Russia",2023,2,"mobile",2023-04-01,36.0098989086524,13.0798483480221,41.586972470709,30.542,11.865,34,32.2741439513036,11.2366789243049,44.8378710897451,23.675,8.432,35,263346,1256509,635178
"RU","Russia",2023,1,"fixed",2023-01-01,102.412879926304,105.317095020769,8.23337576067415,97.422,100.998,5,76.1018242954514,79.6339263360087,14.6438480772729,57.687,62.74,6,236357,3730693,1234267
"RU","Russia",2023,2,"fixed",2023-04-01,105.10349283485,108.292395648347,8.35395697454048,99.683,103.515,5,79.2490034349293,82.4584018825735,14.8013051071756,59.205,63.68,6,241053,3040306,1099628
"RU","Russia",2023,4,"mobile",2023-10-01,35.2657138224324,13.0584803907798,42.6110289183326,29.672,11.794,35,32.8721398839587,11.5149767998125,45.9678744878747,24.3305,8.831,37,247498,1254729,640770
"RU","Russia",2023,3,"mobile",2023-07-01,35.8291761537093,12.6297463263951,42.6238526537737,30.422,11.347,35,31.235119254952,10.7121768730285,45.947233414956,22.514,7.856,36,283418,1320530,691487
"RU","Russia",2023,3,"fixed",2023-07-01,108.192712944272,109.845566420317,8.63874774518808,102.938,105.431,5,81.6958671226411,83.7191452258079,15.3081193373927,60.468,64.2295,6,258494,3278581,1210744
"RU","Russia",2023,4,"fixed",2023-10-01,114.432097887662,116.182382902263,8.43664993246967,111.616,114.079,5,87.099737825937,89.7467722698085,14.4321305491358,66.075,70.348,6,269569,4219411,1420843
"RU","Russia",2024,1,"mobile",2024-01-01,36.034560978683,13.4119975086329,41.3336183040521,30.599,12.131,35,33.6305714454322,11.8073112035644,44.656073883922,24.997,9.149,36,237237,1249996,626965
"RU","Russia",2024,2,"mobile",2024-04-01,36.8994499264157,12.8483665545306,41.1000939751151,31.118,11.335,34,33.6698913941972,11.059875455577,44.3482524629339,24.418,8.068,36,266146,1190974,620377
"RU","Russia",2024,2,"fixed",2024-04-01,123.112268498472,120.647956673182,8.35236867176977,120.652,118.821,5,96.5339951200289,95.6630968738721,13.9444014761452,72.745,73.668,6,271518,3279429,1217560
"RU","Russia",2024,1,"fixed",2024-01-01,119.736278153052,120.759621056225,8.25611568498115,117.697,119.403,5,91.198288655259,93.4806878969314,14.1822494628816,69.555,73.786,6,275079,4557518,1473588
"RU","Russia",2024,4,"mobile",2024-10-01,37.4070097332863,13.1981920524925,42.1436208491827,32.192,11.808,36,35.9144807718784,11.6222859938902,45.0221211771666,27.141,8.888,36,268747,1455668,719798
"RU","Russia",2024,3,"mobile",2024-07-01,36.5359859817099,12.5762105227123,42.7714570322359,31.313,11.034,36,32.7538348247301,10.6032831311936,45.9262111575749,23.7295,7.613,37,297484,1443247,744884
"RU","Russia",2024,4,"fixed",2024-10-01,132.430401853905,129.28828066664,8.39278543083281,130.777,128.29,5,108.368725078079,107.044830677559,13.2770040235221,84.421,85.889,6,319869,4224591,1556822
"RU","Russia",2024,3,"fixed",2024-07-01,123.143904155822,122.139400298344,8.39653237375219,120.845,120.144,5,96.9323848697062,96.7624973637734,14.3288228513866,74.217,75.614,6,309723,3989715,1486204
"RU","Russia",2025,1,"mobile",2025-01-01,38.5259709608238,13.7465261561071,42.5582263329548,33.022,12.2,36,36.2669536197823,12.0077570406317,45.4954210959629,27.383,9.229,36,275721,1366126,685901
"RU","Russia",2025,2,"mobile",2025-04-01,40.4913551695883,13.4113062370954,40.9502983159191,35.275,11.875,34,36.6709388039033,11.4682175839748,43.9348104730927,27.4555,8.495,35,310510,1440330,737138
"RU","Russia",2025,1,"fixed",2025-01-01,138.17451917859,134.804752775401,8.54586000251743,136.83,133.832,5,113.307681007693,112.173684923952,13.1945085621691,87.687,89.622,6,322757,3908135,1485641
"RU","Russia",2025,2,"fixed",2025-04-01,137.961087108483,134.860119437262,8.61704841206305,136.142,133.131,5,112.7441609063,111.439402990322,13.5532124094643,86.4625,88.241,6,349862,3778704,1522699
"RU","Russia",2025,3,"mobile",2025-07-01,40.7311462531056,12.8915743828019,45.9801547698902,34.454,10.904,37,37.1325220395048,11.3486680216497,47.9042483674858,26.917,8.026,37,221897,757177,427861
